Data set 1:
5	17
6	12
29	14
31	18
31	1
37	1
42	7
53	8
56	19
59	2
61	10
72	20
72	2
72	1
77	5
82	9
87	2
92	13
105	7
110	16
116	14
121	1
135	16
137	18
146	13
153	19
154	7
170	3
181	19
184	10
186	5
187	13
195	12
203	16
215	16
218	14
220	8
225	14
230	8
233	20
237	7
243	14
243	9
244	18
247	1
247	4
248	11
262	8
264	14
264	2
266	18
268	15
269	2
270	9
270	11
273	19
275	17
275	7
275	17
276	9
292	19
297	8
300	8
303	2
312	2
323	3
329	6
339	12
348	7
350	14
352	19
357	6
366	18
369	1
373	7
381	4
385	14
389	11
393	14
400	17
404	4
405	17
411	7
418	3
431	2
435	12
435	19
443	4
449	2
459	6
468	7
468	8
491	19
502	18
507	18
522	20
527	15
530	6
532	18
534	2
